title,synopsis,original title,date,score,type,actors,duration,episodes
Planet Earth II,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,,2016,9.5,Documentary,"David Attenborough,Elizabeth White,Michael J. Sanderson,Emma Napper,Pete McCowen,Barrie Britton,Thomas Crowley,Jerome Poncet,Max Hug Williams,Aaron Durogati,Armin Holtze,Jon Griffith,Juarez Sena Feitoza,Emma Brennand,J.P. Magnan","4, ,hours, ,58, ,minutes",6
True Detective,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",,2014–2019,8.9,"Crime,Drama,Mystery","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon","55, ,minutes",24
Le décalogue,"Ten television drama films, each one based on one of the Ten Commandments.",Original title: Dekalog,1989–1990,9.0,Drama,"Artur Barcis,Olgierd Lukaszewicz,Aleksander Bardini,Olaf Lubaszenko,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk,Maria Koscialkowska,Daniel Olbrychski,Anna Polony","9, ,hours, ,32, ,minutes",10
Death Note,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Original title: Death Note: Desu nôto,2006–2007,9.0,"Animation,Crime,Drama","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner","24, ,minutes",37
Terres de glace,Focuses on life and the environment in both the Arctic and Antarctic.,Original title: Frozen Planet,2011–2012,9.0,Documentary,"David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Gavin Thurston,Miles Barton,Mark Linfield,Doug Anderson,Vanessa Berlowitz,Jeff Turner,Doug Allan,Didier Noirot,Jeff Wilson,Jamie McPherson,John Aitchison,Mark Smith,Niobe Thompson","5, ,hours, ,33, ,minutes",10
Sahsiyet,A man diagnosed with Alzheimer's decides to punish criminals.,,2018,9.1,"Crime,Drama,Mystery","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun","1, ,hour, ,5, ,minutes",12
Firefly,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",,2002–2003,9.0,"Adventure,Drama,Sci-Fi","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Isabella Hofmann,Doug Savant,Tom Towles","44, ,minutes",14
Clarkson à la ferme,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Original title: Clarkson's Farm,2021– ,9.1,"Documentary,Reality-TV","Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Gerald Cooper,Lisa Hogan,Kevin Harrison,Ellen Helliwell,Dave Clay","45, ,minutes",9
Planète des hommes,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of environment, from Arctic to desert and jungle, from coasts to mountains.",Original title: Human Planet,2011,9.0,Documentary,"John Hurt,Roger Munns","50, ,minutes",8
Batman,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,Original title: Batman: The Animated Series,1992–1995,9.0,"Animation,Action,Adventure","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid","23, ,minutes",85
